Participants	Duration..in.seconds.	Attention.check	Q3	Q4	Q5	Set_News	Type	Number	Accurate	Interesting	Order	Share
1	198	1	2	20	2	FL_417	TN	15	3	3	A	2
5	138	1	1	21	5	FL_417	TN	15	3	6	B	1
10	374	1	1	30	5	FL_417	TN	15	3	4	B	1
12	217	1	2	19	3	FL_417	TN	15	3	3	E	4
13	269	1	2	20	4	FL_417	TN	15	3	3	A	2
15	228	1	3	20	3	FL_417	TN	15	3	3	A	1
16	260	1	2	51	5	FL_417	TN	15	3	4	E	2
24	371	1	2	67	6	FL_417	TN	15	3	6	A	5
27	367	1	2	40	5	FL_417	TN	15	3	6	E	4
31	378	1	2	37	3	FL_417	TN	15	3	5	E	1
32	278	1	1	18	2	FL_417	TN	15	2	4	E	2
36	212	1	1	32	5	FL_417	TN	15	3	5	C	4
37	340	1	1	50	4	FL_417	TN	15	2	4	B	2
40	502	1	1	33	2	FL_417	TN	15	2	5	E	1
41	246	1	1	27	5	FL_417	TN	15	3	5	A	2
43	206	1	2	25	5	FL_417	TN	15	2	2	E	2
50	261	1	1	31	5	FL_417	TN	15	4	4	E	4
52	91	1	2	20	3	FL_417	TN	15	3	1	A	1
53	294	1	2	18	2	FL_417	TN	15	2	5	E	4
58	410	1	2	31	3	FL_417	TN	15	3	5	E	2
60	102	1	1	27	6	FL_417	TN	15	3	4	E	3
61	210	1	1	33	2	FL_417	TN	15	3	3	E	2
63	219	1	1	38	5	FL_417	TN	15	2	3	E	2
71	337	1	2	23	5	FL_417	TN	15	2	3	D	1
73	193	1	2	27	5	FL_417	TN	15	3	4	E	1
75	204	1	1	24	2	FL_417	TN	15	4	6	E	6
78	262	1	3	35	3	FL_417	TN	15	3	5	E	3
83	228	1	2	18	3	FL_417	TN	15	3	3	D	1
91	157	1	1	38	5	FL_417	TN	15	2	4	E	3
93	351	1	1	43	3	FL_417	TN	15	3	5	E	5
99	353	1	1	23	4	FL_417	TN	15	3	6	C	1
102	244	1	2	53	4	FL_417	TN	15	2	3	E	2
105	271	1	2	36	6	FL_417	TN	15	3	3	A	1
107	317	1	2	20	3	FL_417	TN	15	2	2	E	1
112	153	1	2	24	5	FL_417	TN	15	2	3	C	3
113	951	1	1	18	2	FL_417	TN	15	4	6	D	6
117	557	1	2	66	4	FL_417	TN	15	3	4	D	2
118	429	1	2	23	4	FL_417	TN	15	2	3	C	2
119	266	1	2	47	3	FL_417	TN	15	4	3	C	2
120	191	1	2	41	2	FL_417	TN	15	2	6	A	6
122	552	1	2	39	3	FL_417	TN	15	2	5	E	3
123	195	1	2	46	6	FL_417	TN	15	3	5	D	1
129	233	1	2	46	5	FL_417	TN	15	3	5	A	5
132	780	1	2	18	2	FL_417	TN	15	3	4	A	3
133	224	1	1	18	2	FL_417	TN	15	2	1	B	1
134	209	1	1	22	2	FL_417	TN	15	3	5	D	5
135	146	1	1	19	2	FL_417	TN	15	3	6	C	1
137	232	1	1	30	5	FL_417	TN	15	3	5	D	4
141	212	1	1	30	5	FL_417	TN	15	2	3	E	1
148	172	1	1	29	6	FL_417	TN	15	3	5	C	4
150	249	1	1	19	3	FL_417	TN	15	3	5	A	3
159	521	1	1	34	4	FL_417	TN	15	2	4	D	1
