Sitzung	Datum	Thema
1	2026-04-15	<a href='#1'>Einführung<a/>
2	2026-04-22	<a href='#2'>GLM Grundlagen<a/>
3	2026-04-29	<a href='#3'>Lineare Regression<a/>
4	2026-05-06	<a href='#4'>Mittelwertvergleiche<a/>
5	2026-05-13	<a href='#5'>Multiple Regression<a/>
6	2026-05-20	<a href='#6'>Modellannahmen<a/>
7	2026-05-27	<a href='#7'>Modellvorhersagen<a/>
8	2026-06-03	<a href='#8'>Moderationsanalyse I<a/>
9	2026-06-10	<a href='#9'>Moderationsanalyse II<a/>
10	2026-06-17	<a href='#10'>Logistische Regression<a/>
11	2026-06-24	<a href='#11'>Multilevel-Regression<a/>
12	2026-07-01	<a href='#12'>Abschluss<a/>
