Sitzung	Datum	Thema
1	2026-04-15	<a href='#1'>Introduction<a/>
2	2026-04-22	<a href='#2'>Computational Workflows and Writing<a/>
3	2026-04-29	<a href='#3'>CCS Paper Potpourri<a/>
4	2026-05-06	<a href='#4'>Ethical and legal perspectives<a/>
5	2026-05-13	<a href='#5'>Digital trace data<a/>
6	2026-05-20	<a href='#6'>Digital trace data<a/>
7	2026-05-27	<a href='#7'>Automatic content analysis<a/>
8	2026-06-03	<a href='#8'>Automatic content analysis<a/>
9	2026-06-10	<a href='#9'>Automatic content analysis<a/>
10	2026-06-17	<a href='#10'>Simulation and computational experiments<a/>
11	2026-06-24	<a href='#11'>Simulation and computational experiments<a/>
12	2026-07-01	<a href='#12'>Q & A<a/>
