Sitzung	Datum	Thema
1	2026-04-14	<a href='#1'>Einführung<a/>
2	2026-04-21	<a href='#2'>Themen<a/>
3	2026-04-28	<a href='#3'>CCS: Simulation<a/>
4	2026-05-05	<a href='#4'>Forschungsfragen & Hypothesen<a/>
5	2026-05-12	<a href='#5'>Studiendesign und Stichprobe*<a/>
6	2026-05-19	<a href='#6'>CCS: Stimuluserstellung*<a/>
7	2026-05-26	<a href='#7'>Messung & Fragebogen*<a/>
8	2026-06-02	<a href='#8'>CCS: Soscisurvey*<a/>
9	2026-06-09	<a href='#9'>Pretest<a/>
10	2026-06-16	<a href='#10'>Feldphase<a/>
11	2026-06-23	<a href='#11'>Ergebnisaufbereitung<a/>
12	2026-06-30	<a href='#12'>Abschluss<a/>
