,agent.age,agent.agent_name,agent.experience,agent.gender,answer.friendly,scenario.condition,scenario.message
0,20,Agent_0,just learned how to use Whatsapp,man,3,friendly without emojis,"Hey Kim, could you please buy and bring a pack of coffee? Thanks a lot!"
1,20,Agent_0,just learned how to use Whatsapp,man,4,friendly without emojis,"Hey Kim, could you please buy and bring a pack of coffee? Thanks a lot!"
2,20,Agent_0,just learned how to use Whatsapp,man,4,friendly with matching emojis,"Hey Kim, could you please buy and bring a pack of coffee? ☕😊 You're the best!"
3,20,Agent_0,just learned how to use Whatsapp,man,5,friendly with matching emojis,"Hey Kim, could you please buy and bring a pack of coffee? ☕😊 You're the best!"
4,20,Agent_0,just learned how to use Whatsapp,man,3,annoyed without emojis,"Kim, don't forget to take out the trash."
5,20,Agent_1,loves texting and knows all the emojis.,man,1,annoyed without emojis,"Kim, don't forget to wash the dishes."
6,40,Agent_2,just learned how to use Whatsapp,man,3,annoyed without emojis,"Kim, remember to water the plants."
7,40,Agent_3,loves texting and knows all the emojis.,man,5,friendly with matching emojis,"Hey Kim, could you vacuum the living room? 🧹😊 You're a star!"
8,60,Agent_4,just learned how to use Whatsapp,woman,2,annoyed without emojis,"Kim, don't forget to take out the trash."
9,60,Agent_5,loves texting and knows all the emojis.,woman,1,annoyed without emojis,"Kim, don't forget to wash the dishes."
10,60,Agent_6,loves texting and knows all the emojis.,man,4,friendly with matching emojis,"Hey Kim, could you vacuum the living room? 🧹😊 You're a star!"
11,60,Agent_6,loves texting and knows all the emojis.,man,5,friendly with matching emojis,"Hey Kim, could you vacuum the living room? 🧹😊 You're a star!"
12,60,Agent_6,loves texting and knows all the emojis.,man,2,annoyed without emojis,"Kim, don't forget to vacuum the living room."
13,60,Agent_6,loves texting and knows all the emojis.,man,2,annoyed without emojis,"Kim, don't forget to vacuum the living room."
14,60,Agent_5,loves texting and knows all the emojis.,woman,3,annoyed without emojis,"Kim, don't forget to wash the dishes."
15,60,Agent_5,loves texting and knows all the emojis.,woman,4,annoyed with matching emojis,"Kim, don't forget to wash the dishes. 😤🍽️"
16,60,Agent_5,loves texting and knows all the emojis.,woman,2,annoyed with matching emojis,"Kim, don't forget to wash the dishes. 😤🍽️"
17,60,Agent_5,loves texting and knows all the emojis.,woman,3,friendly without emojis,"Hey Kim, could you vacuum the living room? Thanks a lot!"
18,60,Agent_5,loves texting and knows all the emojis.,woman,3,annoyed with matching emojis,"Kim, don't forget to vacuum the living room. 😤🧹"
19,20,Agent_0,just learned how to use Whatsapp,man,2,annoyed without emojis,"Kim, make sure you buy and bring a pack of coffee."
20,20,Agent_0,just learned how to use Whatsapp,man,2,annoyed without emojis,"Kim, make sure you buy and bring a pack of coffee."
21,20,Agent_0,just learned how to use Whatsapp,man,2,annoyed with matching emojis,"Kim, make sure you buy and bring a pack of coffee. 😒☕"
22,20,Agent_0,just learned how to use Whatsapp,man,4,friendly without emojis,"Hi Kim, can you please take out the trash? Thanks a bunch!"
