Sitzung	Datum	Thema
1	2025-10-28	<a href='#1'>R Basics (Blocktermin Freitag)<a/>
2	2025-11-04	<a href='#2'>keine Sitzung (Blocktermin Freitag)<a/>
3	2025-11-11	<a href='#3'>ANOVA und Regression<a/>
4	2025-11-18	<a href='#4'>Moderationsanalyse<a/>
5	2025-11-25	<a href='#5'>Mediationsanalyse und Pfadmodelle<a/>
6	2025-12-02	<a href='#6'>Lagged und Cross-Lagged Modelle<a/>
7	2025-12-09	<a href='#7'>Multilevel-Längsschnittanalyse<a/>
8	2025-12-16	<a href='#8'>Multilevelmodelle<a/>
9	2026-01-06	<a href='#9'>Übung (keine Sitzung)<a/>
10	2026-01-13	<a href='#10'>Wiederholung/Übung<a/>
11	2026-01-20	<a href='#11'>Explorative Faktorenanalyse<a/>
12	2026-01-27	<a href='#12'>Konfirmatorische Faktorenanalyse<a/>
13	2026-02-03	<a href='#13'>Messinvarianz<a/>
14	2026-02-10	<a href='#14'>Wiederholung/Übung<a/>
